,2025年,2025年,2025年,2024年,2024年,2024年,2023年,2023年,2023年
项目,2025年,2024年,同比增减,2025年,2024年,同比增减,2025年,2024年,同比增减
投资活动产生的现金流量净额,-94475.79,-48875.31,-93.30%,-48875.31,-29187.76,-67.45%,-2,918,776.42,-6,413,984.13,54.49%
投资活动现金流入小计,8303.78,4906.01,69.26%,4906.01,10618.51,-53.80%,1,061,851.04,358,026.99,196.58%
投资活动现金流出小计,102779.57,53781.32,91.11%,53781.32,39806.28,35.11%,3,980,627.46,6,772,011.12,-41.22%
现金及现金等价物净增加额,29770.01,31994.25,-6.95%,31994.25,80536.17,-60.27%,8,053,616.97,8,212,358.20,-1.93%
筹资活动产生的现金流量净额,-6309.54,-14524.24,56.56%,-14524.24,14716.36,-198.69%,1,471,636.27,8,226,643.12,-82.11%
筹资活动现金流入小计,85607.54,33392.74,156.37%,33392.74,50286.50,-33.60%,5,028,650.08,10,362,111.15,-51.47%
筹资活动现金流出小计,91917.08,47916.97,91.83%,47916.97,35570.14,34.71%,3,557,013.81,2,135,468.04,66.57%
经营活动产生的现金流量净额,133219.98,96990.35,37.35%,96990.35,92826.12,4.49%,9,282,612.44,6,120,884.33,51.65%
经营活动现金流入小计,511868.35,444879.42,15.06%,444879.42,446407.50,-0.34%,44,640,749.71,32,981,115.28,35.35%
经营活动现金流出小计,378648.37,347889.07,8.84%,347889.07,353581.37,-1.61%,35,358,137.27,26,860,230.96,31.64%
